Aristocratic	England;Scotland	Laurence Sterne	A Sentimental Journey Through France and Italy
Aristocratic	England;Scotland	Fanny Burney	Evelina
Aristocratic	England;Scotland	Joseph Addison and Richard Steele	The Spectator
Aristocratic	France	# <h3>France</h3>
Aristocratic	France	Jean Froissart	Chronicles
Aristocratic	France	Unknown	The Song of Roland
Aristocratic	France	François Villon	Poems
Aristocratic	France	Michel de Montaigne	Essays
Aristocratic	France	François Rabelais	Gargantua and Pantagruel
Aristocratic	France	Marguerite de Navarre	The Heptameron
Aristocratic	France	Joachim Du Bellay	The Regrets
Aristocratic	France	Maurice Scève	Délie
Aristocratic	France	Pierre Ronsard	Odes, Elegies, Sonnets
Aristocratic	France	Philippe de Commynes	Memoirs
Aristocratic	France	Agrippa d'Aubigné	Les Tragiques
Aristocratic	France	Robert Garnier	Mark Antony
Aristocratic	France	Robert Garnier	The Jewesses
Aristocratic	France	Pierre Corneille	The Cid
Aristocratic	France	Pierre Corneille	Polyeucte
Aristocratic	France	Pierre Corneille	Nicomède
Aristocratic	France	Pierre Corneille	Horace
Aristocratic	France	Pierre Corneille	Cinna
Aristocratic	France	Pierre Corneille	Rodogune
Aristocratic	France	François de La Rochefoucauld	Maxims
Aristocratic	France	Jean de La Fontaine	Fables
Aristocratic	France	Molière	The Misanthrope
Aristocratic	France	Molière	Tartuffe
Aristocratic	France	Molière	The School for Wives
Aristocratic	France	Molière	The Learned Ladies
Aristocratic	France	Molière	Don Juan
Aristocratic	France	Molière	School for Husbands
Aristocratic	France	Molière	Ridiculous Precieuses
Aristocratic	France	Molière	The Would-Be Gentleman
Aristocratic	France	Molière	The Miser
Aristocratic	France	Molière	The Imaginary Invalid
Aristocratic	France	Blaise Pascal	Pensées
Aristocratic	France	Jacques-Bénigne Bosuet	Funerary Orations
Aristocratic	France	Nicolas Boileau-Despréaux	The Art of Poetry
Aristocratic	France	Nicolas Boileau-Despréaux	Lutrin
Aristocratic	France	Jean Racine	Phaedra
Aristocratic	France	Jean Racine	Andromache
Aristocratic	France	Jean Racine	Britannicus
Aristocratic	France	Jean Racine	Athaliah
Aristocratic	France	Pierre Carlet de Marivaux	Seven Comedies
Aristocratic	France	Jean-Jacques Rousseau	The Confessions
Aristocratic	France	Jean-Jacques Rousseau	Émile
Aristocratic	France	Jean-Jacques Rousseau	La Nouvelle Héloïse
Aristocratic	France	Voltaire	Zadig
Aristocratic	France	Voltaire	Candide
Aristocratic	France	Voltaire	Letters on England
Aristocratic	France	Voltaire	The Lisbon Earthquake
Aristocratic	France	Abbé Prévost	Manon Lescaut
Aristocratic	France	Madame de La Fayette	The Princess of Cleves
Aristocratic	France	Sébastien-Roch Nicolas de Chamfort	Products of the Perfected Civilization
Aristocratic	France	Denis Diderot	Rameau's Nephew
Aristocratic	France	Choderlos de Laclos	Dangerous Liaisons
Aristocratic	Germany	# <h3>Germany</h3>
Aristocratic	Germany	Erasmus	In Praise of Folly
Aristocratic	Germany	Johann Wolfgang von Goethe	Faust, Parts One and Two
Aristocratic	Germany	Johann Wolfgang von Goethe	Dichtung und Wahrheit
Aristocratic	Germany	Johann Wolfgang von Goethe	Egmont
Aristocratic	Germany	Johann Wolfgang von Goethe	Elective Affinities
Aristocratic	Germany	Johann Wolfgang von Goethe	The Sorrows of Young Werther
Aristocratic	Germany	Johann Wolfgang von Goethe	Poems
Aristocratic	Germany	Johann Wolfgang von Goethe	Wilhelm Meister's Apprenticeship
Aristocratic	Germany	Johann Wolfgang von Goethe	Wilhelm Meister's Years of Wandering
Aristocratic	Germany	Johann Wolfgang von Goethe	Italian Journey
Aristocratic	Germany	Johann Wolfgang von Goethe	Verse Plays
Aristocratic	Germany	Johann Wolfgang von Goethe	Hermann and Dorothea
Aristocratic	Germany	Johann Wolfgang von Goethe	Roman Elegies
Aristocratic	Germany	Johann Wolfgang von Goethe	Venetian Epigrams
Aristocratic	Germany	Johann Wolfgang von Goethe	West-Eastern Divan
Aristocratic	Germany	Friedrich Schiller	The Robbers
Aristocratic	Germany	Friedrich Schiller	Mary Stuart
Aristocratic	Germany	Friedrich Schiller	Wallenstein
Aristocratic	Germany	Friedrich Schiller	Don Carlos
Aristocratic	Germany	Friedrich Schiller	On the Naïve and Sentimental in Literature
Aristocratic	Germany	Gotthold Lessing	Laocoön
Aristocratic	Germany	Gotthold Lessing	Nathan the Wise
Aristocratic	Germany	Freidrich Hölderlin	Hymns and Fragments
Aristocratic	Germany	Freidrich Hölderlin	Selected Poems
Aristocratic	Germany	Heinrich von Kleist	Five Plays
Aristocratic	Germany	Heinrich von Kleist	Stories
Democratic	Italy	# <h3>Italy</h3>
Democratic	Italy	Ugo Foscolo	On Sepulchres
Democratic	Italy	Ugo Foscolo	Last Letters of Jacopo Ortis
Democratic	Italy	Ugo Foscolo	Odes</cite> and <cite>The Graces
Democratic	Italy	Alessandro Manzoni	The Betrothed
Democratic	Italy	Alessandro Manzoni	On the Historical Novel
Democratic	Italy	Giacomo Leopardi	Essays and Dialogues
Democratic	Italy	Giacomo Leopardi	Poems
Democratic	Italy	Giacomo Leopardi	The Moral Essays
Democratic	Italy	Giuseppe Gioacchino Belli	Roman Sonnets
Democratic	Italy	Giosué Carducci	Hymn to Satan
Democratic	Italy	Giosué Carducci	Barbarian Odes
Democratic	Italy	Giosué Carducci	Rhymes and Rhythms
Democratic	Italy	Giovanni Verga	Little Novels of Sicily
Democratic	Italy	Giovanni Verga	Mastro-Don Gesualdo
Democratic	Italy	Giovanni Verga	The House by the Medlar Tree
Democratic	Italy	Giovanni Verga	The She-Wolf and Other Stories
Democratic	Spain;Portugal	# <h3>Spain and Portugal</h3>
Democratic	Spain;Portugal	Gustavo Adolpho Bécquer	Poems
Democratic	Spain;Portugal	Benito Pérez Galdós	Fortunata and Jacinta
Democratic	Spain;Portugal	Leopoldo Alas (Clarín)	La Regenta
Democratic	Spain;Portugal	José Maria de Eça de Queirós	The Maias
Democratic	France	# <h3>France</h3>
Democratic	France	Benjamin Constant	Adolphe
Democratic	France	Benjamin Constant	The Red Notebook
Democratic	France	François-Auguste-René de Chateaubriand	Attala
Democratic	France	François-Auguste-René de Chateaubriand	René
Democratic	France	François-Auguste-René de Chateaubriand	The Genius of Christianity
Democratic	France	Alphonse de Lamartine	Meditations
Democratic	France	Alfred de Vigny	Chatterton
Democratic	France	Alfred de Vigny	Poems
Democratic	France	Victor Hugo	The Distance, the Shadows: Selected Poems
Democratic	France	Victor Hugo	Les Misérables
Democratic	France	Victor Hugo	Notre-Dame of Paris
Democratic	France	Victor Hugo	William Shakespeare
Democratic	France	Victor Hugo	The Toilers of the Sea
Democratic	France	Victor Hugo	The End of Satan
Democratic	France	Victor Hugo	God
Democratic	France	Alfred de Musset	Poems
Democratic	France	Alfred de Musset	Lorenzaccio
Democratic	France	Gérard de Nerval	The Chimeras
Democratic	France	Gérard de Nerval	Sylvie
Democratic	France	Gérard de Nerval	Aurelia
Democratic	France	Théophile Gautier	Mademoiselle de Maupin
Democratic	France	Théophile Gautier	Enamels and Cameos
Democratic	France	Honoré de Balzac	The Girl with the Golden Eyes
Democratic	France	Honoré de Balzac	Louis Lambert
Democratic	France	Honoré de Balzac	The Wild Ass's Skin
Democratic	France	Honoré de Balzac	Old Goriot
Democratic	France	Honoré de Balzac	Cousin Bette
Democratic	France	Honoré de Balzac	A Harlot High and Low
Democratic	France	Honoré de Balzac	Eugénie Grandet
Democratic	France	Honoré de Balzac	Ursule Mirouet
Democratic	France	Stendhal	On Love
Democratic	France	Stendhal	The Red and the Black
Democratic	France	Stendhal	The Charterhouse of Parma
Democratic	France	Gustave Flaubert	Madame Bovary
Democratic	France	Gustave Flaubert	Sentimental Education
Democratic	France	Gustave Flaubert	Salammbô
Democratic	France	Gustave Flaubert	A Simple Soul
Democratic	France	George Sand	The Haunted Pool
Democratic	France	Charles Baudelaire	Flowers of Evil
Democratic	France	Charles Baudelaire	Paris Spleen
Democratic	France	Stéphane Mallarmé	Selected Poetry and Prose
Democratic	France	Paul Verlaine	Selected Poems
Democratic	France	Arthur Rimbaud	Complete Works
Democratic	France	Tristan Corbière	Les Armours Jaunes
Democratic	France	Jules Laforgue	Selected Writings
Democratic	France	Guy de Maupassant	Selected Short Stories
Democratic	France	Émile Zola	Germinal
Democratic	France	Émile Zola	L'Assommoir
Democratic	France	Émile Zola	Nana
Democratic	Scandinavia	# <h3>Scandinavia</h3>
Democratic	Scandinavia	Henrik Ibsen	Brand
Democratic	Scandinavia	Henrik Ibsen	Peer Gynt
Democratic	Scandinavia	Henrik Ibsen	Emperor and Galilean
Democratic	Scandinavia	Henrik Ibsen	Hedda Gabler
Democratic	Scandinavia	Henrik Ibsen	The Master Builder
Democratic	Scandinavia	Henrik Ibsen	The Lady from the Sea
Democratic	Scandinavia	Henrik Ibsen	When We Dead Awaken
Democratic	Scandinavia	August Strindberg	To Damascus
Democratic	Scandinavia	August Strindberg	Miss Julie
Democratic	Scandinavia	August Strindberg	The Father
Democratic	Scandinavia	August Strindberg	The Dance of Death
Democratic	Scandinavia	August Strindberg	The Ghost Sonata
Democratic	Scandinavia	August Strindberg	A Dream Play
Democratic	Great Britain	# <h3>Great Britain</h3>
Democratic	Great Britain	Robert Burns	Poems
Democratic	Great Britain	William Blake	Complete Poetry and Prose
Democratic	Great Britain	William Wordsworth	Poems
Democratic	Great Britain	William Wordsworth	The Prelude
Democratic	Great Britain	Sir Walter Scott	Waverley
Democratic	Great Britain	Sir Walter Scott	The Heart of Midlothian
Democratic	Great Britain	Sir Walter Scott	Redgauntlet
Democratic	Great Britain	Sir Walter Scott	Old Mortality
Democratic	Great Britain	Jane Austen	Pride and Prejudice
Democratic	Great Britain	Jane Austen	Emma
Democratic	Great Britain	Jane Austen	Mansfield Park
Democratic	Great Britain	Jane Austen	Persuasion
Democratic	Great Britain	Samuel Taylor Coleridge	Poems and Prose
Democratic	Great Britain	Dorothy Wordsworth	The Grasmere Journal
Democratic	Great Britain	William Hazlitt	Essays and Criticism
Democratic	Great Britain	Lord Byron	Don Juan
Democratic	Great Britain	Lord Byron	Poems
Democratic	Great Britain	William Savage Landor	Poems
Democratic	Great Britain	William Savage Landor	Imaginary Conversations
Democratic	Great Britain	Thomas De Quincey	Confessions of an English Opium Eater
Democratic	Great Britain	Thomas De Quincey	Selected Prose
Democratic	Great Britain	Charles Lamb	Essays
Democratic	Great Britain	Maria Edgeworth	Castle Rackrent
Democratic	Great Britain	John Galt	The Entail
Democratic	Great Britain	Elizabeth Gaskell	Cranford
Democratic	Great Britain	Elizabeth Gaskell	Mary Barton
Democratic	Great Britain	Elizabeth Gaskell	North and South
Democratic	Great Britain	James Hogg	The Private Memoirs and Confessions of a Justified Sinner
Democratic	Great Britain	Charles Maturin	Melmoth the Wanderer
